session_id,user_id,session_start_ts,traffic_source,device_type,landing_page
s_215_4_3054,215,2026-03-01 00:09:41,linkedin,tablet,home
s_138_7_7596,138,2026-03-01 00:34:27,affiliate,Desktop,search
s_159_0_5591,159,2026-03-01 01:00:27,linkedin,mobile,campaign
s_181_2_8120,181,2026-03-01 01:52:52,google,tablet,search
s_149_6_9806,149,2026-03-01 02:07:55,direct,tablet,product
s_49_5_1495,49,2026-03-01 02:44:10,affiliate,mobile,search
s_34_5_2301,34,2026-03-01 03:10:22,NEWSLETTER,desktop,product
s_250_3_1915,250,2026-03-01 04:07:09,newsletter,desktop,home
s_251_10_6991,251,2026-03-01 04:08:29,newsletter,desktop,product
s_115_4_1645,115,2026-03-01 04:14:53,google,desktop,search
s_287_0_7833,287,2026-03-01 04:39:30,direct,mobile,campaign
s_286_4_8673,286,2026-03-01 04:48:25,affiliate,desktop,search
s_171_6_8913,171,2026-03-01 04:57:27,instagram,mobile,product
s_36_3_1915,36,2026-03-01 05:10:02,linkedin,tablet,home
s_139_6_9517,139,2026-03-01 05:17:59,affiliate,desktop,home
s_261_3_7512,261,2026-03-01 05:21:43,affiliate,tablet,home
s_214_11_8262,214,2026-03-01 05:44:23,linkedin,mobile,campaign
s_263_11_3870,263,2026-03-01 05:53:26,linkedin,desktop,product
s_138_1_8785,138,2026-03-01 07:58:00,linkedin,tablet,product
s_76_2_3982,76,2026-03-01 08:08:23,google,tablet,home
s_266_0_2107,266,2026-03-01 08:17:53,instagram,tablet,search
s_220_7_8205,220,2026-03-01 08:32:20,direct,mobile,search
s_247_5_6826,247,2026-03-01 09:05:10,linkedin,tablet,home
s_230_6_4317,230,2026-03-01 09:05:53,google,tablet,search
s_158_7_9048,158,2026-03-01 09:21:47,instagram,mobile,product
s_44_9_1578,44,2026-03-01 09:29:31,direct,mobile,search
s_137_3_3452,137,2026-03-01 10:07:36,affiliate,desktop,search
s_182_3_8752,182,2026-03-01 10:43:55,linkedin,desktop,search
s_81_3_1161,81,2026-03-01 12:06:25,linkedin,desktop,product
s_175_7_6091,175,2026-03-01 12:26:34,instagram,mobile,product
s_87_6_5379,87,2026-03-01 12:56:59,newsletter,tablet,campaign
s_157_1_5839,157,2026-03-01 13:03:31,linkedin,mobile,search
s_111_2_6073,111,2026-03-01 13:17:26,google,tablet,campaign
s_96_9_7319,96,2026-03-01 13:40:22,instagram,desktop,search
s_298_4_4334,298,2026-03-01 13:44:39,instagram,mobile,campaign
s_94_3_5351,94,2026-03-01 13:46:46,instagram,mobile,search
s_41_9_2555,41,2026-03-01 14:06:06,google,tablet,product
s_147_10_3078,147,2026-03-01 14:28:34,direct,desktop,home
s_254_11_2103,254,2026-03-01 14:51:58,newsletter,tablet,search
s_3_1_3495,3,2026-03-01 14:56:27,instagram,tablet,home
s_222_3_6904,222,2026-03-01 15:15:32,direct,desktop,search
s_248_8_1945,248,2026-03-01 15:34:49,affiliate,tablet,product
s_186_6_8931,186,2026-03-01 15:53:14,newsletter,desktop,product
s_32_3_7863,32,2026-03-01 15:57:22,instagram,tablet,campaign
s_233_4_1762,233,2026-03-01 16:40:22,linkedin,desktop,search
s_16_9_4609,16,2026-03-01 17:40:52,direct,tablet,campaign
s_141_6_7882,141,2026-03-01 17:55:55,direct,mobile,campaign
s_97_7_7871,97,2026-03-01 17:56:32,affiliate,mobile,product
s_288_4_2450,288,2026-03-01 17:59:43,direct,mobile,search
s_240_0_2651,240,2026-03-01 19:35:11,linkedin,tablet,search
s_68_2_1613,68,2026-03-01 19:48:46,linkedin,desktop,home
s_50_1_6375,50,2026-03-01 19:57:26,linkedin,tablet,search
s_105_5_6922,105,2026-03-01 20:01:05,instagram,tablet,campaign
